reclat,reclon, 
42.95898,-78.81566, 
42.95898,-78.81565, 
42.95899,-78.81564, 
42.95899,-78.81562, 
42.95899,-78.81561, 
42.959,-78.81559, 
42.95901,-78.81558, 
42.95901,-78.81557, 
42.95902,-78.81556, 
42.95903,-78.81554, 
42.95904,-78.81553, 
42.95904,-78.81552, 
42.95905,-78.8155, 
42.95905,-78.81548, 
42.95906,-78.81546, 
42.95906,-78.81545, 
42.95907,-78.81543, 
42.95907,-78.81542, 
42.95908,-78.8154, 
42.95908,-78.81539, 
42.95909,-78.81537, 
42.95909,-78.81535, 
42.95909,-78.81534, 
42.9591,-78.81533, 
42.9591,-78.81531, 
42.9591,-78.8153, 
42.95911,-78.81528, 
42.95911,-78.81527, 
42.95912,-78.81526, 
42.95912,-78.81525, 
42.95912,-78.81524, 
42.95913,-78.81523, 
42.95913,-78.81522, 
42.95914,-78.81521, 
42.95914,-78.81519, 
42.95915,-78.81518, 
42.95916,-78.81516, 
42.95916,-78.81515, 
42.95917,-78.81514, 
42.95918,-78.81513, 
42.95918,-78.81511, 
42.95919,-78.8151, 
42.95919,-78.81508, 
42.9592,-78.81507, 
42.9592,-78.81506, 
42.95921,-78.81505, 
42.95922,-78.81504, 
42.95923,-78.81502, 
42.95923,-78.81501, 
42.95924,-78.81499, 
42.95925,-78.81497, 
42.95925,-78.81496, 
42.95926,-78.81494, 
42.95926,-78.81492, 
42.95926,-78.81491, 
42.95927,-78.81489, 
42.95928,-78.81489, 
42.95929,-78.81489, 
42.9593,-78.81489, 
42.95931,-78.81489, 
42.95933,-78.81489, 
42.95935,-78.81489, 
42.95936,-78.81489, 
42.95936,-78.81488, 
42.95937,-78.81488, 
42.95938,-78.81488, 
42.95939,-78.81489, 
42.9594,-78.81489, 
42.95941,-78.8149, 
42.95942,-78.8149, 
42.95943,-78.8149, 
42.95944,-78.8149, 
42.95945,-78.81489, 
42.95946,-78.81488, 
42.95948,-78.81487, 
42.95949,-78.81486, 
42.9595,-78.81486, 
42.95951,-78.81486, 
42.95952,-78.81485, 
42.95953,-78.81485, 
42.95955,-78.81485, 
42.95956,-78.81486, 
42.95957,-78.81486, 
42.95958,-78.81485, 
42.9596,-78.81485, 
42.95961,-78.81485, 
42.95962,-78.81485, 
42.95964,-78.81486, 
42.95965,-78.81487, 
42.95966,-78.81487, 
42.95968,-78.81488, 
42.95969,-78.81488, 
42.95971,-78.81489, 
42.95972,-78.8149, 
42.95973,-78.81491, 
42.95974,-78.81493, 
42.95973,-78.81494, 
42.95972,-78.81493, 
42.95972,-78.81492, 
42.95973,-78.81492, 
42.95974,-78.81493, 
42.95975,-78.81493, 
42.95975,-78.81493, 
42.95976,-78.81493, 
42.95975,-78.81494, 
42.95974,-78.81494, 
42.95974,-78.81493, 
42.95974,-78.81493,
